#,Title,Section,Authors,Year,URL,Summary,Relevance
1,Heterogeneous Graph Transformer (HGT),Foundational Graph Methods,Hu et al.,2020,https://arxiv.org/abs/2003.01332,"Attention-based architecture for heterogeneous graphs. Node- and edge-type-dependent attention. Foundation for HAN/HGMAE.",Core
2,Heterogeneous Graph Masked Autoencoders (HGMAE),Foundational Graph Methods,Tian et al.,2022,https://arxiv.org/abs/2208.09957,"Self-supervised pretraining on heterogeneous graphs via masked autoencoding. Our primary method.",Core
3,Finding Money Launderers Using Heterogeneous GNNs,Heterogeneous GNNs for AML,"Johannessen & Jullum",2023,https://arxiv.org/abs/2307.13499,"First GNN on large-scale real-world heterogeneous bank data (DNB, Norway). Novel edge-aggregation.",Core
4,Heterogeneous Graph Auto-Encoder for Credit Card Fraud,Heterogeneous GNNs for AML,Singh et al.,2024,https://arxiv.org/abs/2410.08121,"Heterogeneous graph + autoencoder. AUC-PR 0.89, F1 0.81. Same tripartite topology as ours.",Core
5,Anti-Money Laundering by Group-Aware Deep Graph Learning,Heterogeneous GNNs for AML,Shwetha et al.,2025,https://doi.org/10.22214/ijraset.2025.73672,"Community-centric encoder for gang-level laundering detection. Tested on real bank card alliance data.",Relevant
6,xFraud: Explainable Fraud Transaction Detection,Explainability,Rao et al.,2022,https://arxiv.org/abs/2011.12193,"Heterogeneous GNN detector + explainer for e-commerce fraud. Scales to 1.1B nodes / 3.7B edges. VLDB 2022.",Core
7,AML Alert Optimization Using ML with Graphs,Heterogeneous GNNs for AML,Naser Eddin et al.,2021,https://arxiv.org/abs/2112.07508,"Entity-centric + graph features for AML alert triage. 80% FP reduction, >90% TP on real data.",Core
8,Powerful GNNs for Money Laundering Detection,Heterogeneous GNNs for AML,Stan,2024,https://studenttheses.uu.nl/bitstream/handle/20.500.12932/50600/thesis_Stan.pdf,"GNNs on ~1M node / ~9M edge AMLSim data. Ego IDs, heterogeneous message passing, port numbering.",Core
9,Detecting and Preventing Money Laundering Using Deep Learning,Temporal & Hybrid,(International American University),2025,https://thesai.org/Downloads/Volume16No6/Paper_1-Detecting_and_Preventing_Money_Laundering.pdf,"Hybrid LSTM-GraphSAGE. 95.4% accuracy on simulated data.",Relevant
10,LaundroGraph: Self-Supervised Graph Learning for AML,Self-Supervised,Cardoso et al.,2022,https://arxiv.org/abs/2210.14360,"First fully self-supervised AML system. Bipartite graph + link prediction. +12pp AUC.",Core
11,Privacy-Aware Graph Embeddings for AML Pipelines,Self-Supervised,Paladugu,2025,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5320964,"GNNs + homomorphic encryption for privacy-preserving AML.",Secondary
12,Advances in Continual Graph Learning for AML,Self-Supervised,Deprez et al.,2025,https://arxiv.org/abs/2503.24259,"Continual learning for GNN-based AML. Replay, regularization, architecture strategies.",Relevant
13,GNNs for Financial Fraud Detection: A Review,Surveys & Reviews,Cheng et al.,2024,https://arxiv.org/abs/2411.05815,"Comprehensive review of 100+ GNN studies for financial fraud.",Core
14,Fraud Detection Using Deep Learning and SHAP Analysis,Surveys & Reviews,Bathala et al.,2024,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5083759,"Tabular feed-forward NN + SHAP. Not graph-based.",Peripheral
15,AI-Powered Fraud Detection: GNN Compliance and Risk,Surveys & Reviews,Vallarino,2025,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5170054,"GNN fraud detection. Compliance/risk focus.",Secondary
16,Enhancing AML Systems Using Knowledge Graphs and GNNs,Knowledge Graphs,Yu et al.,2024,https://www.researchgate.net/publication/387449610,"KG + GCN/GAT for AML. GAT overfitting issues. Timestamps critical.",Relevant
17,ML in Transaction Monitoring: The Prospect of xAI,Explainability,"Gerlings & Constantiou",2023,https://research.cbs.dk/en/publications/machine-learning-in-transaction-monitoring-the-prospect-of-xai,"xAI requirements depend on liable party in TM. CBS paper.",Core
